workload,Channel,interface,Baseline,Baseline-ClosedCap4
459.GemsFDTD,1.0,12800.0,1.1732897362646009,1.1556007540285675
459.GemsFDTD,1.0,17600.0,1.1944692462046953,1.1756988982074157
459.GemsFDTD,2.0,8800.0,1.3644423012512479,1.3449372953385395
459.GemsFDTD,4.0,8800.0,1.535347159971785,1.5134594536420485
459.GemsFDTD,8.0,8800.0,1.6821978838542755,1.6645090423904079
459.GemsFDTD,16.0,8800.0,1.8248338285330148,1.8099077623222755
462.libquantum,1.0,3200.0,1.1130267211113332,0.9233967254786165
462.libquantum,1.0,6400.0,1.501902930530108,1.2166586221604445
462.libquantum,1.0,8800.0,1.579525534287462,1.2642312955039983
462.libquantum,1.0,12800.0,1.610880293981271,1.279210743962051
462.libquantum,1.0,17600.0,1.643612909411729,1.2932569708548531
462.libquantum,2.0,8800.0,1.7494215432725015,1.5591501380719432
462.libquantum,4.0,8800.0,1.8855868161671012,1.7764970962888602
462.libquantum,8.0,8800.0,1.9617881108452966,1.9301768785517812
462.libquantum,16.0,8800.0,1.9992432704312226,1.9955668004768703
464.h264ref,1.0,3200.0,3.8181285476523215,3.8175883011991654
464.h264ref,1.0,6400.0,3.8294957458629595,3.8294818141278593
464.h264ref,1.0,8800.0,3.83529144521598,3.8343845567002446
464.h264ref,1.0,12800.0,3.835858225636627,3.8355589701235733
464.h264ref,1.0,17600.0,3.83683956394257,3.8373001026623594
464.h264ref,2.0,8800.0,3.8462060657977393,3.8466622565453226
464.h264ref,4.0,8800.0,3.8512459042384934,3.8512459042384934
464.h264ref,8.0,8800.0,3.8550944031662353,3.8550944031662353
464.h264ref,16.0,8800.0,3.856528620116474,3.856528620116474
470.lbm,1.0,3200.0,0.648584028153725,0.6029392817161695
470.lbm,1.0,6400.0,0.7791001286657367,0.7137101374458267
470.lbm,1.0,8800.0,0.8127554351137977,0.744811167630676
470.lbm,1.0,12800.0,0.8292347581867371,0.7592938862099955
470.lbm,1.0,17600.0,0.8469059272787697,0.775666241217872
470.lbm,2.0,8800.0,0.9918319976880634,0.9325802504096969
470.lbm,4.0,8800.0,1.1525565469826444,1.113431814268814
470.lbm,8.0,8800.0,1.2982278250342225,1.2460007270414242
470.lbm,16.0,8800.0,1.4384799579982266,1.3788145003115169
471.omnetpp,1.0,3200.0,1.942095426955694,1.941274403541987
