workload,Channel,interface,PRAC_WO_Mitigation-ClosedCap4,Benchmark_Types
MIX84,1.0,12800.0,0.8944125364726032,MMLL (15)
MIX84,1.0,17600.0,0.891877878611982,MMLL (15)
MIX85,1.0,3200.0,0.9556867047638526,MMLL (15)
MIX85,1.0,6400.0,0.932590791346571,MMLL (15)
MIX85,1.0,8800.0,0.9274132757301881,MMLL (15)
MIX85,1.0,12800.0,0.9263728446203786,MMLL (15)
MIX85,1.0,17600.0,0.9239815322370019,MMLL (15)
MIX86,1.0,3200.0,0.9681669407777193,MMLL (15)
MIX86,1.0,6400.0,0.9412724217172095,MMLL (15)
MIX86,1.0,8800.0,0.946069311262002,MMLL (15)
MIX86,1.0,12800.0,0.9401263913779806,MMLL (15)
MIX86,1.0,17600.0,0.9462050886398495,MMLL (15)
MIX87,1.0,3200.0,0.9551822642326083,MMLL (15)
MIX87,1.0,6400.0,0.9493414017854253,MMLL (15)
MIX87,1.0,8800.0,0.9492889452357193,MMLL (15)
MIX87,1.0,12800.0,0.9606109905380235,MMLL (15)
MIX87,1.0,17600.0,0.9573285146453829,MMLL (15)
MIX88,1.0,3200.0,0.9660154354236429,MMLL (15)
MIX88,1.0,6400.0,0.9424939494299214,MMLL (15)
MIX88,1.0,8800.0,0.9375798533720502,MMLL (15)
MIX88,1.0,12800.0,0.937680210644934,MMLL (15)
MIX88,1.0,17600.0,0.9384565440769097,MMLL (15)
MIX89,1.0,3200.0,0.9426133934360017,MMLL (15)
MIX89,1.0,6400.0,0.9427411349065322,MMLL (15)
MIX89,1.0,8800.0,0.915029267878267,MMLL (15)
MIX89,1.0,12800.0,0.9228730312208541,MMLL (15)
MIX89,1.0,17600.0,0.9144174296173487,MMLL (15)
MIX9,1.0,3200.0,0.9721883799283346,HHHH (15)
MIX9,1.0,6400.0,0.8837857650823764,HHHH (15)
MIX9,1.0,8800.0,0.867989663347896,HHHH (15)
MIX9,1.0,12800.0,0.8575149546194709,HHHH (15)
MIX9,1.0,17600.0,0.8522919307012449,HHHH (15)
HHHH (15),1.0,3200.0,0.9696840095858821,
