workload,Nrh,prac-level,Benchmark_Types,ABO-Only,BAT-RFM,TPRAC-S
MIX36,2048.0,1.0,LLLL (15),1.0,1.0004508828038452,0.9985426081425758
MIX36,4096.0,1.0,LLLL (15),1.0,1.0004508828038452,0.9985426081425758
MIX37,256.0,1.0,LLLL (15),1.0,0.9959476965849807,0.945215378322736
MIX37,512.0,1.0,LLLL (15),1.0,0.9987643574818663,0.9736259512486758
MIX37,512.0,2.0,LLLL (15),1.0,0.9987643574818663,0.9736259512486758
MIX37,512.0,4.0,LLLL (15),1.0,0.9987643574818663,0.9736259512486758
MIX37,1024.0,1.0,LLLL (15),1.0,0.9997059705929942,0.9941398829402758
MIX37,2048.0,1.0,LLLL (15),1.0,0.9998711015837668,0.9968204273627446
MIX37,4096.0,1.0,LLLL (15),1.0,0.9998711015837668,0.9968204273627446
MIX38,256.0,1.0,LLLL (15),1.0,0.9897921240046619,0.911908557223615
MIX38,512.0,1.0,LLLL (15),1.0,0.9970448024677593,0.9542059531668863
MIX38,512.0,2.0,LLLL (15),1.0,0.9970448024677593,0.9542059531668863
MIX38,512.0,4.0,LLLL (15),1.0,0.9970448024677593,0.9542059531668863
MIX38,1024.0,1.0,LLLL (15),1.0,0.9995093382775714,0.9887406437301256
MIX38,2048.0,1.0,LLLL (15),1.0,1.0001371330266076,0.99460869367334
MIX38,4096.0,1.0,LLLL (15),1.0,1.0001371330266076,0.99460869367334
MIX39,256.0,1.0,LLLL (15),1.0,0.9947724459661202,0.9384867834995249
MIX39,512.0,1.0,LLLL (15),1.0,0.9981486693682288,0.9704862029112722
MIX39,512.0,2.0,LLLL (15),1.0,0.9981486693682288,0.9704862029112722
MIX39,512.0,4.0,LLLL (15),1.0,0.9981486693682288,0.9704862029112722
MIX39,1024.0,1.0,LLLL (15),1.0,1.0002968786703523,0.9935208727441656
MIX39,2048.0,1.0,LLLL (15),1.0,1.0000105584832693,0.9968122031476007
MIX39,4096.0,1.0,LLLL (15),1.0,1.0000105584832693,0.9968122031476007
MIX4,256.0,1.0,HHHH (15),0.9990883164777392,0.8614443791280116,
MIX4,512.0,1.0,HHHH (15),0.9996884147882642,0.9446897565008338,
MIX4,512.0,2.0,HHHH (15),0.9995836365174244,0.9446897565008338,0.907390182256407
MIX4,512.0,4.0,HHHH (15),1.0000733736842728,0.9446897565008338,0.907390182256407
MIX4,1024.0,1.0,HHHH (15),0.9999956097940403,0.9926990318103537,
MIX4,2048.0,1.0,HHHH (15),1.0,0.9958755712260368,0.9914825615516072
MIX4,4096.0,1.0,HHHH (15),1.0,0.9958755712260368,0.9914825615516072
MIX40,256.0,1.0,LLLL (15),1.0,0.9906643403260429,0.9041656547003244
MIX40,512.0,1.0,LLLL (15),1.0,0.9988355440884242,0.9486889237416184
MIX40,512.0,2.0,LLLL (15),1.0,0.9988355440884242,0.9486889237416184
MIX40,512.0,4.0,LLLL (15),1.0,0.9988355440884242,0.9486889237416184
MIX40,1024.0,1.0,LLLL (15),1.0,0.9994730617558243,0.988501463907447
MIX40,2048.0,1.0,LLLL (15),1.0,0.9996117049932417,0.9949349207520205
MIX40,4096.0,1.0,LLLL (15),1.0,0.9996117049932417,0.9949349207520205
MIX41,256.0,1.0,LLLL (15),1.0000196089352296,1.0021704880957738,0.944651421759832
MIX41,512.0,1.0,LLLL (15),1.0,1.0050493040970772,0.9732238738334472
MIX41,512.0,2.0,LLLL (15),1.0,1.0050493040970772,0.9732238738334472
MIX41,512.0,4.0,LLLL (15),1.0,1.0050493040970772,0.9732238738334472
MIX41,1024.0,1.0,LLLL (15),1.0,1.006204436110963,0.9983675289583296
MIX41,2048.0,1.0,LLLL (15),1.0,1.0009072365612444,1.0017243891581695
MIX41,4096.0,1.0,LLLL (15),1.0,1.0009072365612444,1.0017243891581695
MIX42,256.0,1.0,LLLL (15),1.0,0.9933881193391795,0.9272216568988841
MIX42,512.0,1.0,LLLL (15),1.0,0.9967654558383113,0.9639164950363133
MIX42,512.0,2.0,LLLL (15),1.0,0.9967654558383113,0.9639164950363133
MIX42,512.0,4.0,LLLL (15),1.0,0.9967654558383113,0.9639164950363133
MIX42,1024.0,1.0,LLLL (15),1.0,0.9992866786525578,0.991564344287908
MIX42,2048.0,1.0,LLLL (15),1.0,1.0005976690000629,0.995634135341447
MIX42,4096.0,1.0,LLLL (15),1.0,1.0005976690000629,0.995634135341447
MIX43,256.0,1.0,LLLL (15),1.0,0.9993832461550423,0.9818218558429267
MIX43,512.0,1.0,LLLL (15),1.0,0.9999901995317617,0.9914195869561483
MIX43,512.0,2.0,LLLL (15),1.0,0.9999901995317617,0.9914195869561483
MIX43,512.0,4.0,LLLL (15),1.0,0.9999901995317617,0.9914195869561483
MIX43,1024.0,1.0,LLLL (15),1.0,0.9999693300636124,0.9976825979346856
MIX43,2048.0,1.0,LLLL (15),1.0,1.0,0.998932732293679
MIX43,4096.0,1.0,LLLL (15),1.0,1.0,0.998932732293679
MIX44,256.0,1.0,LLLL (15),1.0,0.9965012869424124,0.9210096605130966
MIX44,512.0,1.0,LLLL (15),1.0,0.9989352950192957,0.9698270717039621
MIX44,512.0,2.0,LLLL (15),1.0,0.9989352950192957,0.9698270717039621
MIX44,512.0,4.0,LLLL (15),1.0,0.9989352950192957,0.9698270717039621
MIX44,1024.0,1.0,LLLL (15),1.0,1.0000904444867575,0.992386340375791
MIX44,2048.0,1.0,LLLL (15),1.0,0.9997188013584694,0.9958777390970388
MIX44,4096.0,1.0,LLLL (15),1.0,0.9997188013584694,0.9958777390970388
MIX45,256.0,1.0,HHMM (15),0.9991129951526327,,
MIX45,512.0,1.0,HHMM (15),0.9997648933624229,0.9450135915618723,
MIX45,512.0,2.0,HHMM (15),0.999619117027582,0.9450135915618723,
MIX45,512.0,4.0,HHMM (15),1.0000448907043533,0.9450135915618723,
MIX45,1024.0,1.0,HHMM (15),1.0000076685505692,0.9892809337476945,
MIX45,2048.0,1.0,HHMM (15),1.0,0.9950913481179761,0.9878037457917187
MIX45,4096.0,1.0,HHMM (15),1.0,0.9950913481179761,0.9878037457917187
MIX46,256.0,1.0,HHMM (15),0.9995465133304859,0.9222885140848371,
MIX46,512.0,1.0,HHMM (15),0.9998949413288287,0.9642577441905326,
MIX46,512.0,2.0,HHMM (15),0.9999132690639525,0.9642577441905326,
MIX46,512.0,4.0,HHMM (15),0.9998668715106547,0.9642577441905326,
MIX46,1024.0,1.0,HHMM (15),1.0,0.992202642891746,
MIX46,2048.0,1.0,HHMM (15),1.0,0.9982541319813415,0.9905533507087585
MIX46,4096.0,1.0,HHMM (15),1.0,0.9982541319813415,0.9905533507087585
MIX47,256.0,1.0,HHMM (15),0.9997089834132447,0.8814063983720385,
MIX47,512.0,1.0,HHMM (15),1.000049073817753,0.954724708488779,
MIX47,512.0,2.0,HHMM (15),1.0003495874583404,0.954724708488779,0.9080721511252182
