workload,Channel,interface,PRAC_WO_Mitigation,Benchmark_Types
MIX40,1.0,17600.0,0.9592064271574738,LLLL (15)
MIX41,1.0,3200.0,0.9819883413150017,LLLL (15)
MIX41,1.0,4800.0,0.9865937295307992,LLLL (15)
MIX41,1.0,6400.0,0.9801046120612018,LLLL (15)
MIX41,1.0,8000.0,0.9811074296919154,LLLL (15)
MIX41,1.0,8800.0,0.9837498262516537,LLLL (15)
MIX41,1.0,12800.0,0.9813657086403655,LLLL (15)
MIX41,1.0,17600.0,0.9784178667258393,LLLL (15)
MIX42,1.0,3200.0,0.9760887523458622,LLLL (15)
MIX42,1.0,4800.0,0.9740240588209135,LLLL (15)
MIX42,1.0,6400.0,0.9744100979117983,LLLL (15)
MIX42,1.0,8000.0,0.9737832197136236,LLLL (15)
MIX42,1.0,8800.0,0.973831992625829,LLLL (15)
MIX42,1.0,12800.0,0.9734135244829297,LLLL (15)
MIX42,1.0,17600.0,0.9739467443263069,LLLL (15)
MIX43,1.0,3200.0,0.9971862066238159,LLLL (15)
MIX43,1.0,4800.0,0.9970299051936301,LLLL (15)
MIX43,1.0,6400.0,0.9971877308929551,LLLL (15)
MIX43,1.0,8000.0,0.9971400677605194,LLLL (15)
MIX43,1.0,8800.0,0.9974356394258206,LLLL (15)
MIX43,1.0,12800.0,0.9974204523289969,LLLL (15)
MIX43,1.0,17600.0,0.9969087306728304,LLLL (15)
MIX44,1.0,3200.0,0.9858701254113319,LLLL (15)
MIX44,1.0,4800.0,0.986261898690926,LLLL (15)
MIX44,1.0,6400.0,0.9866351155022063,LLLL (15)
MIX44,1.0,8000.0,0.9862239350608897,LLLL (15)
MIX44,1.0,8800.0,0.9864439678778132,LLLL (15)
MIX44,1.0,12800.0,0.9870574172474446,LLLL (15)
MIX44,1.0,17600.0,0.9866581967272224,LLLL (15)
MIX45,1.0,3200.0,0.975141383108876,HHMM (15)
MIX45,1.0,4800.0,0.9461488803264613,HHMM (15)
MIX45,1.0,6400.0,0.9014826319986841,HHMM (15)
MIX45,1.0,8000.0,0.8749602746094055,HHMM (15)
MIX45,1.0,8800.0,0.8642707873130455,HHMM (15)
MIX45,1.0,12800.0,0.8447334097423773,HHMM (15)
MIX45,1.0,17600.0,0.8395512119411739,HHMM (15)
MIX46,1.0,3200.0,0.9636417789753863,HHMM (15)
MIX46,1.0,4800.0,0.9099572179747287,HHMM (15)
MIX46,1.0,6400.0,0.879553745243551,HHMM (15)
MIX46,1.0,8000.0,0.8700777055367346,HHMM (15)
MIX46,1.0,8800.0,0.8598814846741206,HHMM (15)
MIX46,1.0,12800.0,0.8508636169427942,HHMM (15)
MIX46,1.0,17600.0,0.8547050786838921,HHMM (15)
MIX47,1.0,3200.0,0.9585108745830956,HHMM (15)
MIX47,1.0,4800.0,0.911115084085226,HHMM (15)
MIX47,1.0,6400.0,0.8845586659767705,HHMM (15)
MIX47,1.0,8000.0,0.8657737343124565,HHMM (15)
MIX47,1.0,8800.0,0.8640865395217573,HHMM (15)
MIX47,1.0,12800.0,0.8609491891047727,HHMM (15)
MIX47,1.0,17600.0,0.8552313446766361,HHMM (15)
MIX48,1.0,3200.0,0.9726538833319676,HHMM (15)
MIX48,1.0,4800.0,0.9563644292068263,HHMM (15)
MIX48,1.0,6400.0,0.9188598487898755,HHMM (15)
MIX48,1.0,8000.0,0.8974801748513798,HHMM (15)
MIX48,1.0,8800.0,0.8843133558940832,HHMM (15)
MIX48,1.0,12800.0,0.860352444895009,HHMM (15)
MIX48,1.0,17600.0,,HHMM (15)
MIX49,1.0,3200.0,0.9660840253547357,HHMM (15)
MIX49,1.0,4800.0,0.9171831543281268,HHMM (15)
MIX49,1.0,6400.0,0.8817306624237093,HHMM (15)
MIX49,1.0,8000.0,0.8643413350187464,HHMM (15)
MIX49,1.0,8800.0,0.8578970163506185,HHMM (15)
MIX49,1.0,12800.0,0.8492731993976602,HHMM (15)
MIX49,1.0,17600.0,0.8494448712641286,HHMM (15)
MIX5,1.0,3200.0,0.9625123187908607,HHHH (15)
MIX5,1.0,4800.0,0.9315966963740805,HHHH (15)
MIX5,1.0,6400.0,0.8964598286411444,HHHH (15)
MIX5,1.0,8000.0,0.8759225411348539,HHHH (15)
MIX5,1.0,8800.0,0.8680076528284083,HHHH (15)
MIX5,1.0,12800.0,0.8590043196340639,HHHH (15)
MIX5,1.0,17600.0,0.8538481340874216,HHHH (15)
MIX50,1.0,3200.0,0.972252979157122,HHMM (15)
MIX50,1.0,4800.0,0.9425466096160016,HHMM (15)
MIX50,1.0,6400.0,0.9194800916603447,HHMM (15)
MIX50,1.0,8000.0,0.9053626330326177,HHMM (15)
MIX50,1.0,8800.0,0.8988583334832866,HHMM (15)
MIX50,1.0,12800.0,0.8882311402902087,HHMM (15)
MIX50,1.0,17600.0,0.8884134353048379,HHMM (15)
MIX51,1.0,3200.0,0.986701369577703,HHMM (15)
MIX51,1.0,4800.0,0.9424814977921925,HHMM (15)
MIX51,1.0,6400.0,0.9030191628641036,HHMM (15)
MIX51,1.0,8000.0,0.8736050757048183,HHMM (15)
MIX51,1.0,8800.0,0.8615241198367946,HHMM (15)
MIX51,1.0,12800.0,0.8402902717041011,HHMM (15)
MIX51,1.0,17600.0,0.8468386887481034,HHMM (15)
MIX52,1.0,3200.0,0.980003648424891,HHMM (15)
MIX52,1.0,4800.0,0.9509317571236517,HHMM (15)
MIX52,1.0,6400.0,0.9074772628467211,HHMM (15)
MIX52,1.0,8000.0,0.8774291615585235,HHMM (15)
MIX52,1.0,8800.0,0.8629108084876433,HHMM (15)
MIX52,1.0,12800.0,0.8356176331186008,HHMM (15)
MIX52,1.0,17600.0,0.8364429210089374,HHMM (15)
MIX53,1.0,3200.0,0.946193833819357,HHMM (15)
MIX53,1.0,4800.0,0.9055232362412884,HHMM (15)
MIX53,1.0,6400.0,0.8950037953515253,HHMM (15)
MIX53,1.0,8000.0,0.881568036453496,HHMM (15)
MIX53,1.0,8800.0,0.8782633875718975,HHMM (15)
MIX53,1.0,12800.0,0.8733025054051208,HHMM (15)
MIX53,1.0,17600.0,0.866283408313469,HHMM (15)
MIX54,1.0,3200.0,0.9443216473565009,HHMM (15)
MIX54,1.0,4800.0,0.9026779146910645,HHMM (15)
MIX54,1.0,6400.0,0.8798055144801894,HHMM (15)
MIX54,1.0,8000.0,0.8684450842218061,HHMM (15)
MIX54,1.0,8800.0,0.8660699742875322,HHMM (15)
MIX54,1.0,12800.0,0.8629618131535024,HHMM (15)
MIX54,1.0,17600.0,0.8608832968442016,HHMM (15)
MIX55,1.0,3200.0,0.9679245522687904,HHMM (15)
MIX55,1.0,4800.0,0.9199376783632859,HHMM (15)
MIX55,1.0,6400.0,0.8733880104321078,HHMM (15)
MIX55,1.0,8000.0,0.8566335240644466,HHMM (15)
MIX55,1.0,8800.0,0.8523632672934129,HHMM (15)
MIX55,1.0,12800.0,0.8388153361407693,HHMM (15)
MIX55,1.0,17600.0,0.8347627857838287,HHMM (15)
MIX56,1.0,3200.0,0.9796716748643383,HHMM (15)
MIX56,1.0,4800.0,0.9532903663027245,HHMM (15)
MIX56,1.0,6400.0,0.928666756018675,HHMM (15)
MIX56,1.0,8000.0,0.9112629368556321,HHMM (15)
MIX56,1.0,8800.0,0.9026671811966389,HHMM (15)
MIX56,1.0,12800.0,0.8896944526002735,HHMM (15)
MIX56,1.0,17600.0,0.8895225141039845,HHMM (15)
MIX57,1.0,3200.0,0.957698242993021,HHMM (15)
MIX57,1.0,4800.0,0.908317633784897,HHMM (15)
MIX57,1.0,6400.0,0.8791541473119019,HHMM (15)
MIX57,1.0,8000.0,0.8658933469213179,HHMM (15)
MIX57,1.0,8800.0,0.860933143875711,HHMM (15)
MIX57,1.0,12800.0,0.8531634058073653,HHMM (15)
MIX57,1.0,17600.0,0.8520850727961412,HHMM (15)
MIX58,1.0,4800.0,0.958533379468678,HHMM (15)
MIX58,1.0,8000.0,0.8807279972199488,HHMM (15)
MIX59,1.0,3200.0,0.9570945735065008,HHMM (15)
MIX59,1.0,4800.0,0.9160171615767343,HHMM (15)
MIX59,1.0,6400.0,0.8931522172444032,HHMM (15)
MIX59,1.0,8000.0,0.8809787049949399,HHMM (15)
MIX59,1.0,8800.0,0.8779168704418558,HHMM (15)
MIX59,1.0,12800.0,0.8715907665907975,HHMM (15)
MIX59,1.0,17600.0,0.870814355672867,HHMM (15)
MIX6,1.0,3200.0,0.9671975702061909,HHHH (15)
MIX6,1.0,4800.0,0.9147170746392315,HHHH (15)
MIX6,1.0,6400.0,0.8782372025928746,HHHH (15)
MIX6,1.0,8000.0,0.8651026031943513,HHHH (15)
MIX6,1.0,8800.0,0.8515605379109099,HHHH (15)
MIX6,1.0,12800.0,0.8477629085553523,HHHH (15)
MIX6,1.0,17600.0,0.8417564053557103,HHHH (15)
MIX60,1.0,3200.0,0.9619812246174444,HHLL (15)
MIX60,1.0,4800.0,0.939455330599957,HHLL (15)
MIX60,1.0,6400.0,0.9279776627525458,HHLL (15)
MIX60,1.0,8000.0,0.9236545205000709,HHLL (15)
MIX60,1.0,8800.0,0.9217876221865404,HHLL (15)
MIX60,1.0,12800.0,0.9195894225221386,HHLL (15)
MIX60,1.0,17600.0,0.9189553866177426,HHLL (15)
MIX61,1.0,3200.0,0.9751076982970812,HHLL (15)
MIX61,1.0,4800.0,0.9568109275072176,HHLL (15)
MIX61,1.0,6400.0,0.9479792338911913,HHLL (15)
